no,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
18,Hazelnut,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/hazelnut/,,,
19,Hazelnut,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Hazelnut.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Hazelnut.jpg,https://jeremiahspick.com/product/hazelnut/,,,
20,Hazelnut,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Hazelnut.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Hazelnut.jpg,https://jeremiahspick.com/product/hazelnut/,,,
21,Hazelnut,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/hazelnut/,,,
22,Kona Macadamia Nut,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Kona-Macadamia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Kona-Macadamia.jpg,https://jeremiahspick.com/product/kona-macadamia-nut/,,,
23,Kona Macadamia Nut,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Kona-Macadamia-Nut.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Kona-Macadamia-Nut.jpg,https://jeremiahspick.com/product/kona-macadamia-nut/,,,
24,Kona Macadamia Nut,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/kona-macadamia-nut/,,,
25,Kona Macadamia Nut,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Kona-Macadamia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Kona-Macadamia.jpg,https://jeremiahspick.com/product/kona-macadamia-nut/,,,
26,Kona Macadamia Nut,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Kona-Macadamia-Nut.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Kona-Macadamia-Nut.jpg,https://jeremiahspick.com/product/kona-macadamia-nut/,,,
27,Kona Macadamia Nut,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/kona-macadamia-nut/,,,
28,Organic Chocatal,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Organic-Chocatal-Ground.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Organic-Chocatal-Ground.jpg,https://jeremiahspick.com/product/organic-chocatal/,,,
29,Organic Chocatal,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Organic-Chocatal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Organic-Chocatal.jpg,https://jeremiahspick.com/product/organic-chocatal/,,,
30,Organic Chocatal,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/organic-chocatal/,,,
31,Pumpkin Spice,,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Pumpkin-Spice.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2019/10/10-oz-Premium-Ground-Pumpkin-Spice.jpg,https://jeremiahspick.com/product/pumpkin-spice/,,,
32,Pumpkin Spice,,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Pumpkin-Spice.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2019/10/10-oz-Premium-Whole-Bean-Pumpkin-Spice.jpg,https://jeremiahspick.com/product/pumpkin-spice/,,,
33,Vanilla,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-French-Vanilla.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-French-Vanilla.jpg,https://jeremiahspick.com/product/vanilla/,,,
34,Vanilla,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Vanilla.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Vanilla.jpg,https://jeremiahspick.com/product/vanilla/,,,
35,Vanilla,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/vanilla/,,,
36,Vanilla,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-French-Vanilla.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-French-Vanilla.jpg,https://jeremiahspick.com/product/vanilla/,,,
37,Vanilla,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Vanilla.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Vanilla.jpg,https://jeremiahspick.com/product/vanilla/,,,
38,Vanilla,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/vanilla/,,,
