no,category,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
10,Premium,Breakfast Blend,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/breakfast-blend/,,,
11,Premium,Chocatal,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Chocotal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Chocotal.jpg,https://jeremiahspick.com/product/chocatal/,,,
12,Premium,Chocatal,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Chocatal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Chocatal.jpg,https://jeremiahspick.com/product/chocatal/,,,
13,Premium,Chocatal,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/chocatal/,,,
14,Premium,Colombia Supremo,Light Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Columbia-Supremo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Columbia-Supremo.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
15,Premium,Colombia Supremo,Light Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Colombia-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Colombia-Blend.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
16,Premium,Colombia Supremo,Light Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
17,Premium,Colombia Supremo,Light Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Columbia-Supremo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Columbia-Supremo.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
18,Premium,Colombia Supremo,Light Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Colombia-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Colombia-Blend.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
19,Premium,Colombia Supremo,Light Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
